ID SESA,MARCA,TIPO,SEGMENTO CLASE,CLASIFICACION,COMBUSTIBLE,MODELO,UNIDADES EXPUESTAS
0001,GENERAL MOTORS,CHEVELLE NOVA CAPRICE OPEL,COMPACTO,AUTOMOVILES,GASOLINA,1980,5.0135
0002,GENERAL MOTORS,CITATION CELEBRITYIMPALA Y MALIBU 1981 Y ANTERIORES,COMPACTO,AUTOMOVILES,GASOLINA,2007,57.9477
0003,CHRYSLER,DART K VOLARE K,COMPACTO,AUTOMOVILES,GASOLINA,2013,524.6893
0004,CHRYSLER,CORDOBAMONACO LE BARON CORONET Y VALIANT,COMPACTO,AUTOMOVILES,GASOLINA,2007,57.9477
0005,CHRYSLER,CHRYSLER 600,COMPACTO,AUTOMOVILES,GASOLINA,1985,57.9477
0007,NISSAN,DATSUN,SUBCOMPACTO,AUTOMOVILES,GASOLINA,1973,26.8496
0008,NISSAN,TSURU,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2010,1131.2844
0009,FORD,PINTOMAVERICKFAIRMONT TOPAZ,COMPACTO,AUTOMOVILES,GASOLINA,1994,57.9477
0014,VAM,V. A. M.,COMPACTO,AUTOMOVILES,GASOLINA,1989,57.9477
0015,RENAULT,RENAULT MODELO 86 Y ANTERIORES,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2022,86.3891
0016,VOLKSWAGEN,SEDAN,SUBCOMPACTO,AUTOMOVILES,GASOLINA,1996,26.8496
0017,VOLKSWAGEN,CARIBE BRASILIA SAFARI,SUBCOMPACTO,AUTOMOVILES,GASOLINA/DIESEL,1971,524.6893
0019,VOLKSWAGEN,ATLANTIC,SUBCOMPACTO,AUTOMOVILES,GASOLINA,1986,57.9477
0020,VOLKSWAGEN,CORSAR VARIANT,COMPACTO,AUTOMOVILES,GASOLINA,1986,57.9477
0021,CHRYSLER,VOLARE SUPER BEE STEALTH,COMPACTO,AUTOMOVILES,GASOLINA,2018,46.6473
0024,NISSAN,SAMURAI SAKURA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,1983,26.8496
0031,CHRYSLER,SHADOW,COMPACTO,AUTOMOVILES,GASOLINA,1989,57.9477
0041,CHRYSLER,SPIRIT,COMPACTO,AUTOMOVILES,GASOLINA,1993,86.3891
0047,FORD,GHIA,COMPACTO,AUTOMOVILES,GASOLINA,1994,57.9477
0057,GENERAL MOTORS,CHEVY,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2008,1131.2844
0064,GENERAL MOTORS,CAVALIER,COMPACTO,AUTOMOVILES,GASOLINA,2024,524.6893
0067,CHRYSLER,NEON,COMPACTO,AUTOMOVILES,GASOLINA,2005,57.9477
0070,FORD,ESCORT,COMPACTO,AUTOMOVILES,GASOLINA,1998,1131.2844
0072,MERCURY,MYSTIQUE,COMPACTO,AUTOMOVILES,GASOLINA,1999,1131.2844
0074,VOLKSWAGEN,DERBY,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2002,86.3891
0075,CHRYSLER,STRATUS Y BREEZE,COMPACTO,AUTOMOVILES,GASOLINA,2006,524.6893
0077,NISSAN,TSUBAME,COMPACTO,AUTOMOVILES,GASOLINA,1997,57.9477
0081,CHRYSLER,CIRRUS,COMPACTO,AUTOMOVILES,GASOLINA,2007,57.9477
0082,NISSAN,SENTRA,COMPACTO,AUTOMOVILES,GASOLINA,2023,57.9477
0088,FORD,CONTOUR,COMPACTO,AUTOMOVILES,GASOLINA,1999,1131.2844
0091,GENERAL MOTORS,GRAN PRIX,COMPACTO,AUTOMOVILES,GASOLINA,2022,86.3891
0093,GENERAL MOTORS,MALIBU NUEVA GENERACION,COMPACTO,AUTOMOVILES,GASOLINA,2005,57.9477
0094,GENERAL MOTORS,SUNFIRE,COMPACTO,AUTOMOVILES,GASOLINA,2002,86.3891
0099,HONDA,CIVIC,COMPACTO,AUTOMOVILES,GASOLINA,2003,524.6893
0101,PEUGEOT,306,COMPACTO,AUTOMOVILES,GASOLINA,2001,57.9477
0109,FORD,FIESTA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2016,86.3891
0112,VOLKSWAGEN,POINTER,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2000,57.9477
0113,VOLKSWAGEN,BEETLE,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2006,524.6893
0115,GENERAL MOTORS,GRAN AM,COMPACTO,AUTOMOVILES,GASOLINA,2002,86.3891
0123,FORD,FOCUS,COMPACTO,AUTOMOVILES,GASOLINA,2010,1131.2844
0124,VOLKSWAGEN,JETTA/CLASICO,COMPACTO,AUTOMOVILES,GASOLINA/DIESEL,2018,46.6473
0125,VOLKSWAGEN,GOLF,SUBCOMPACTO,AUTOMOVILES,GASOLINA/DIESEL,2016,86.3891
0129,GENERAL MOTORS,TIGRA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2002,86.3891
0130,CHRYSLER,PT CRUISER,COMPACTO,AUTOMOVILES,GASOLINA,2007,57.9477
0131,GENERAL MOTORS,ASTRA,COMPACTO,AUTOMOVILES,GASOLINA,2001,57.9477
0138,CHRYSLER,ATOS,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2006,524.6893
0140,PEUGEOT,206,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2008,1131.2844
0141,RENAULT,SCENIC,COMPACTO,AUTOMOVILES,GASOLINA,2004,1131.2844
0142,FORD,MONDEO,COMPACTO,AUTOMOVILES,GASOLINA,2002,86.3891
0144,SEAT,IBIZA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2021,50.9951
0145,SEAT,CORDOBA,COMPACTO,AUTOMOVILES,GASOLINA,2009,1807.3426
0147,SEAT,TOLEDO,COMPACTO,AUTOMOVILES,GASOLINA,2017,26.8496
0148,RENAULT,MEGANE,COMPACTO,AUTOMOVILES,GASOLINA,2005,57.9477
0150,FORD,IKON,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2014,524.6893
0151,FORD,KA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2006,524.6893
0160,GENERAL MOTORS,ZAFIRA,COMPACTO,AUTOMOVILES,GASOLINA,2003,524.6893
0163,GENERAL MOTORS,CORSA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2003,524.6893
0168,NISSAN,PLATINA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2006,524.6893
0169,RENAULT,CLIO,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2006,524.6893
0177,TOYOTA,CAMRY,COMPACTO,AUTOMOVILES,GASOLINA,2017,26.8496
0178,TOYOTA,COROLLA,COMPACTO,AUTOMOVILES,GASOLINA,2012,1131.2844
0179,TOYOTA,MATRIX,COMPACTO,AUTOMOVILES,GASOLINA,2005,57.9477
0181,BMW,COOPER,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2020,86.3891
0183,VOLKSWAGEN,POLO,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2014,524.6893
0187,GENERAL MOTORS,MERIVA,COMPACTO,AUTOMOVILES,GASOLINA,2006,524.6893
0188,GENERAL MOTORS,VECTRA,COMPACTO,AUTOMOVILES,GASOLINA,2006,524.6893
0191,FIAT,PALIO,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2022,86.3891
0200,MITSUBISHI,LANCER,COMPACTO,AUTOMOVILES,GASOLINA,2008,1131.2844
0203,MITSUBISHI,SPACESTAR,COMPACTO,AUTOMOVILES,GASOLINA,2004,1131.2844
0206,PEUGEOT,307,COMPACTO,AUTOMOVILES,GASOLINA,2005,57.9477
0209,GENERAL MOTORS,MATIZ,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2015,1131.2844
0216,TOYOTA,YARIS,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2020,86.3891
0221,CHRYSLER,VERNA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2004,1131.2844
0222,VOLKSWAGEN,LUPO,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2005,57.9477
0227,GENERAL MOTORS,G6,COMPACTO,AUTOMOVILES,GASOLINA,2006,524.6893
0230,NISSAN,MICRA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,1998,1131.2844
0248,GENERAL MOTORS,G4,COMPACTO,AUTOMOVILES,GASOLINA,2007,57.9477
0255,HONDA,FIT,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2017,26.8496
0256,NISSAN,APRIO,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2009,1807.3426
0257,VOLKSWAGEN,BORA,COMPACTO,AUTOMOVILES,GASOLINA/DIESEL,2009,1807.3426
0261,MAZDA,3,COMPACTO,AUTOMOVILES,GASOLINA,2013,524.6893
0262,MAZDA,6,COMPACTO,AUTOMOVILES,GASOLINA,2015,1131.2844
0264,SUZUKI,AERIO,COMPACTO,AUTOMOVILES,GASOLINA,1993,86.3891
0272,CHRYSLER,ATTITUDE,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2022,86.3891
0273,CHRYSLER,CALIBER,COMPACTO,AUTOMOVILES,GASOLINA,2007,57.9477
0276,NISSAN,TIIDA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2015,1131.2844
0278,SUZUKI,SWIFT,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2017,26.8496
0279,GENERAL MOTORS,G3,COMPACTO,AUTOMOVILES,GASOLINA,2008,1131.2844
0280,VOLKSWAGEN,CROSSFOX,COMPACTO,AUTOMOVILES,GASOLINA,2017,26.8496
0285,CHRYSLER,AVENGER,COMPACTO,AUTOMOVILES,GASOLINA,2008,1131.2844
0288,GENERAL MOTORS,OPTRA,COMPACTO,AUTOMOVILES,GASOLINA,2010,1131.2844
0292,VOLKSWAGEN,SPORTVAN,COMPACTO,AUTOMOVILES,GASOLINA,2008,1131.2844
0305,FIAT,PANDA,SUBCOMPACTO,AUTOMOVILES,GASOLINA,2007,57.9477
0306,FIAT,GRANDE PUNTO,COMPACTO,AUTOMOVILES,GASOLINA,2008,1131.2844
